№	Автор	Компания  (комментарий для ИИ: добавить в заголовок/текст поста, на твоё усмотрение, при обработке данных)	Заголовок поста	Текст поста 	Ссылка на проект   (комментарий для ИИ: добавить в текст поста последней строчкой, через отступ от предыдущих)	Ценности (комментарий для ИИ: выбрать из нашего списка по указу 809, это теги)	URL на изображение (комментарий для ИИ: использовать для картинки поста, тут прямая ссылка на изображение)
1	Владислав 	Сбербанк	Благотворительный фонд Сбербанка «Вклад в будущее»	Программа направлена на создание образовательной среды, в которой условия превращаются в возможности для личностного развития детей и взрослых. Содержание Программы отвечает требованиям ФГОС, задачам, поставленным Указами Президента РФ и последними законодательными инициативами. Программа «Развивающая среда» («Развитие личностного потенциала») помогает сформировать в образовательных организациях личностно-развивающую среду, в которой условия превращаются в возможности развития и в которой ребёнок может удовлетворить свои ключевые психологические потребности, обрести субъективное благополучие, развить в себе личностную зрелость и гибкость.	https://vbudushee.ru/education/developmental-environment/?ysclid=mifnklryec280687040	Жизнь, Достоинство, Развитие личности, Гуманизм, Созидательный труд	https://filearchive.cnews.ru/img/cnews/2021/10/19/logos/c8/c8a204e6cf4b5f5042b915cb11ffbe26.png
2	Владислав 	Сбербанк	Международный конкурс по искусственному интеллекту для молодежи AI Challenge	В 2024 году Сбер совместно с Альянсом в сфере искусственного интеллекта в третий раз провел международный конкурс AI Challenge среди молодежи в возрасте до 18 лет. Конкурс помогает раскрывать потенциал участников в сфере современных технологий и готовить будущих специалистов в области искусственного интеллекта. Мероприятие объединило молодых исследователей из 65 стран мира и 89 регионов России. Они работали над решением 16 реальных технологических бизнес‑кейсов в различных отраслях — от сельского хозяйства до креативных индустрий. Каждый участник вне зависимости от уровня своих знаний и навыков в сфере искусственного интеллекта мог погрузиться в ИИ‑технологии в одном из направлений — «Начинающие», «Исследователи» и «Креативные». Общий призовой фонд составил 17 млн рублей.	https://aiijc.com/ru/	Созидательный труд, Развитие личности, Коллективизм, Взаимоуважение	https://mcvp.ru/wp-content/uploads/2024/08/snimok-ekrana-2024-08-22-155441-optimized.png
3	Владислав 	Сбербанк	«Урок цифры» 	Масштабная национальная инициатива, направленная на цифровое просвещение школьников. Проект объединяет образовательные материалы от ведущих российских ИТ‑компаний, создавая уникальную платформу для технологического обучения молодежи. Ключевой партнер — Благотворительный фонд «Вклад в будущее» при экспертной поддержке Сбера, команд GigaChat и Kandinsky.	https://урокцифры.рф	Созидательный труд, Гражданственность, Развитие личности	 https://rubtsovskmv.ru/wp-content/uploads/2022/09/Урок-цифры.jpg
4	Владислав 	Сбербанк	«Школа 21»	Проект Сбера, предоставляющий бесплатное ИТ‑образование для людей старше 18 лет, желающих получить востребованную цифровую профессию. Проект открывает широкий доступ к технологическому образованию, подготовить квалифицированные кадры и содействовать цифровой трансформации страны. «Школа 21» проводит интенсивы для компаний. В рамках сотрудничества между Правительством Москвы и Сбером преподаватели столичных колледжей, готовящие специалистов для ИТ‑отрасли, прошли образовательную программу по искусственному интеллекту в московском кампусе «Школы 21». «Школа 21» формирует сообщества участников и выпускников, развивает методику «равный равному», когда обучение проходит без лекций, преподавателей и оценок в рамках индивидуальной и коллективной работы над практическими проектами.	https://21-school.ru	Созидательный труд, Коллективизм, Взаимопомощь, Развитие личности	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlrJmmsPqpjPLc--f1LIWlNNrCxCpTifJ6sQ&s
5	Руслан 	ВТБ 	Благотворительный фонд поддержки социальных инициатив и оказания адресной помощи «ВТБ-Страна» 	Благотворительный фонд поддержки социальных инициатив и оказания адресной помощи «ВТБ-Страна» ведёт работу по пяти направлениям: здравоохранение, образование, спорт, культура, патриотизм и традиции страны.  У фожна есть основные программы: 1. Программа «Патриотизм и традиции страны» - Укрепление духовно-нравственных качеств. Сохранение национальных обычаев и патриотическое воспитание молодёжи. Помощь людям, оказавшимся в трудной жизненной ситуации. 2. Программа «Культурная страна»        Активное участие в культурной жизни страны. Сохранение и развитие духовных ценностей народов России. 3. Программа «Образованная страна»        Помощь талантливым молодым специалистам. Содействие при проведении научных исследований и разработок в России. Равные возможности для карьерного роста. 4. Программа «Спортивная страна» Продвижение здорового образа жизни среди россиян. Создание условий для занятий физкультурой. 5. Программа «Здоровая страна» Улучшение качества жизни жителей нашей страны. Развитие технологичной и персонализированной медицины.	https://vtbstrana.ru	Милосердие, Гуманизм, Патриотизм, Гражданственность, Справедливость	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6wtHsC1FbQRMwqkyr6T_s-4-HhxJv2N_yEA&s
6	Руслан 	ВТБ 	Кроноцкий государственный заповедник	Вклад в сохранение заповедных территорий Камчатки и в развитие экологического туризма	https://kronoki.ru	Жизнь, Ответственность за судьбу Отечества, Гуманизм	https://static.tildacdn.com/tild6534-6563-4133-b365-366535613732/IMG_20230727_125904_.jpg
7	Руслан 	ВТБ 	Школа управления рисками	Трехмесячный бесплатный учебный курс для студентов, аспирантов и выпускников математических, экономических, финансовых и ИТ-специальностей с перспективой трудоустройства в Банк ВТБ	https://rabota.vtb.ru/shkola-upravleniya-riskami/	Созидательный труд, Достоинство	https://fut.ru/api/storage/api/files/981673ca-6b95-4e0c-bb0a-5f3c88b7082c/download/v2
8	Руслан 	ВТБ 	«Ближе к делу» обучающий портал для предпринимателей	На портале можно бесплатно пройти обучение в режиме онлайн, ознакомиться со статьями экспертов и посмотреть анонсы мероприятий	https://kdelu.vtb.ru	Созидательный труд, Гражданственность, Ответственность	https://kdelu.vtb.ru/_next/static/images/preview-main-9a73bac1fa832977d0158c50414dc158.png
9	Ольга 	Газпромбанк	Детские деревни – SOS	На протяжении многих лет Банк является одним из доноров Межрегиональной благотворительной общественной организации «Детские деревни – SOS». Это уникальная альтернатива детским домам. Модель, максимально приближенная к домашней, где дети живут, как в обычной семье	https://sos-dd.ru	Крепкая семья, Милосердие, Гуманизм, Достоинство	https://sos-dd.ru/upload/iblock/3a4/1hisxxwbmur1mka4cmalwl0xrn8ed6iy.png
10	Ольга 	Газпромбанк	Поддержка культуры и искусства	Банк начал формирование собственной коллекции, которая стала первой и пока единственной корпоративной коллекцией, всецело посвященной искусству «Новой России» – с начала 1990-х годов по сегодняшний день.	-	Историческая память, Высокие нравственные идеалы	https://cdn.gpb.ru/upload/files/392/Main_Image_Podderzhka_kultury_i_iskusstva_2432kh792px.webp
11	Ольга 	Газпромбанк	Поддержка образовательных инициатив	Среди основных целей, которые ставит перед собой Газпромбанк в этом направлении: поддержка образовательных инициатив, профессионального сообщества, талантливых молодых людей и развитие человеческого капитала. Одно из исторически важных направлений – активное взаимодействие с вузами. По итогам 2020 года Банк оказал поддержку 88 именным стипендиатам из числа лучших студентов финансово-экономических вузов Москвы, Санкт-Петербурга и других городов России. Газпромбанк выступает партнером Российского Союза Молодежи и поддерживает победителей Программы «Российская студенческая весна», а также ежегодной Премии «Студент года».	https://www.gazprombank.ru/sustainability/social/education/	Созидательный труд, Достоинство, Развитие личности 	https://cdn.gpb.ru/upload/files/4ab/Main_Image_Obrazovanie_2432kh792px.webp
12	Софья 	Альфа-Банк	Альфа‑Лаб	Лаборатория предпринимательских проектов для студентов, которые не боятся пробовать	https://alfabank.ru/alfafuture/alfalab/	Созидательный труд, Развитие личности, Коллективизм	https://alfabank.servicecdn.ru/site-upload/24/3d/10377/logo.svg
13	Софья 	Альфа-Банк	Альфа-Шанс 	Программа для умных и свободных студентов: 30 грантов по 300 000 рублей и комьюнити успешных предпринимателей и управленцев.	https://alfabank.ru/alfafuture/finance/studentgrants/	Достоинство, Развитие личности, Справедливость	https://info.urfu.ru/fileadmin/user_upload/site_18506/News/20171006_alpha-chance__1_.png
14	Софья 	Альфа-Банк	Альфа-Академия	Корпоративный университет с современными методиками обучения. Курсы ведут тренеры Альфа-Академии и приглашённые эксперты.	https://job.alfabank.ru/blog/alfa-academy	Созидательный труд, Развитие личности	https://alfabank.servicecdn.ru/site-upload/21/ea/10377/d_logo_big.svg
15	Владислав 	Россельхозбанк	«Я в агро»	Платформа по образованию и поиску работу в сельском хозяйстве. Например: Стипендиальная программа банка Это стипендия Россельхозбанка талантливым студентам аграрных специальностей. 	https://svoevagro.ru/students	Созидательный труд, Служение Отечеству, Ответственность	https://agroclasses.svoevagro.ru/api/v1/back/get-file/storage/app/media/afisha-events/14742/JoS217ifE5WXSxhs.png
16	Руслан 	Московский кредитный банк	Программа «Шанс» (совместно с Благотворительным фондом «Арифметика Добра»)	Комплексная подготовка сирот-подростков к самостоятельной жизни после выпуска из детского дома. При спонсорской поддержке МКБ специалисты фонда находят необходимых преподавателей и помогают воспитанникам фонда получить лучшее образование, раскрыть свои таланты и успешно поступить в вузы. 	https://ir.mkb.ru/sustainability/key-esg-events/48927	Достоинство, Крепкая семья, Милосердие, Гуманизм	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwypcFQ2cK6rcAIpxB33VPsz_DtCBvqCCkCQ&s
17	Руслан 	Московский кредитный банк	Экологический финтех-проект Trashback	Цель  Целью проекта является увеличение доли перерабатываемых твердых коммунальных отходов (ТКО) и мотивация жителей к экологически ответственному поведению.  Проблема  В России достаточно остро стоит проблема раздельного сбора и переработки мусора, в 2019 году объем производственных отходов составил порядка 7,75 млрд тонн[1]. Одной из основных задач является выстраивание централизованной системы раздельного сбора мусора и разработка эффективных стимулов, действующих для всех участников системы обращения с отходами. Кроме того, необходимо работать над повышением экологической грамотности населения и приучать к полезным привычкам с детства.	https://trashback.net	Ответственность за судьбу Отечества, Гражданственность, Коллективизм	https://trashback.net/assets/logo/logoGrey.png
18	Ольга 	Т⁠-⁠Банк	Т-образование 	Это проект Т‑Банка, созданный для подготовки квалифицированных IT-кадров и профориентации школьников и студентов. Он предлагает бесплатные курсы, стажировки, олимпиады и научные лаборатории, помогая участникам освоить востребованные специальности (разработка, ИИ, анализ данных) и начать карьеру в технологиях.	https://education.tbank.ru	Созидательный труд, Развитие личности	https://cdn.tbank.ru/static/pfa-multimedia/images/c51eaa15-44c4-456b-8c49-08d53141d996.png
19	Ольга 	Т⁠-⁠Банк	«Курс Добра»	 Это социальный проект, в котором Т-Банк за счет собственных денег удваивает ваши пожертвования в благотворительные фонды	https://www.tbank.ru/charity/	Милосердие, Гуманизм, Взаимопомощь	https://static.tildacdn.com/tild3434-3832-4563-a162-353433653563/kurs_dobra_19201080.png
20	Софья 	Совкомбанк	«Технологии Добра»	Портал «Технологии Добра» — это маркетплейс цифровых продуктов и услуг, который призван объединить партнеров — доноров услуг и некоммерческие организации. Проект Совкомбанка и Sk Финтех Хаб (Сколково), где банк и его партнеры предоставляют бесплатные услуги для тысячи благотворительных фондов.	https://технологиидобра.рф	Милосердие, Взаимопомощь, Гуманизм	https://blagosfera.ru/wp-content/uploads/2023/10/Иллюстрация.png
21	Софья 	Совкомбанк	«Совкомбанк про добро»	Мы раз­ви­ва­ем плат­фор­му для уча­стия всех же­ла­ю­щих в бла­го­тво­ри­тель­но­сти. У нас вы мо­жете без­опас­но со­вер­шать по­жерт­во­ва­ния в ад­рес про­ве­рен­ных фон­дов. Вве­ди­те сум­му в руб­лях, до­бавь­те доб­ро­бал­лы – и ваша по­мощь ста­нет ещё силь­нее.	https://prodobro.ru/about	Милосердие, Гуманизм	https://sun1-56.userapi.com/r-D0RyQD2S8oL23cHGKhwCTzQCH-tefSUHXjSg/lwErwuLr05o.jpg
22	Владислав 	Дом.РФ	АРХИТЕКТОРЫ.РФ	Бесплатная лидерская программа профессионального развития, сфокусированная на раскрытии потенциала российских специалистов в области архитектуры, градостроительства, государственного и муниципального управления. Программа реализуется Институтом «Стрелка», Фондом ДОМ.РФ при поддержке Правительства Российской Федерации и Минстроя России	https://архитекторы.рф	Созидательный труд, Служение Отечеству	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuV6kE0lw39aF2Af4L7HhcwQDbxxDPHpS_Iw&s
23	Владислав 	Дом.РФ	ПРОЕКТ.Ф	Оплачиваемая программа развития молодых специалистов в проектном финансировании с возможностью дальнейшего трудоустройства в ДОМ.РФ,	https://дом.рф/career/project-f/	Созидательный труд, Достоинство 	https://mgsu.ru/upload/iblock/410/v2c1f7vf2mll5qm1ujlicuvhe3r4trmu.jpg
24	Владислав 	Дом.РФ	Цифровая Академия	Это уникальная онлайн-площадка, на которой реализуются обучающие курсы с целью внедрения лучших практик в работу строительных организаций и обеспечить востребованность проектов на рынке.	https://наш.дом.рф/академия?utm_referrer=https%3a%2f%2fwww.google.com%2f	Созидательный труд, Развитие личности	https://наш.дом.рф/site/binaries/content/gallery/медиа/news_ca_20231208.png
25	Владислав 	Дом.РФ	«Точка роста в ДОМ.РФ»	Это карьерный проект Банка ДОМ.РФ для студентов России. За 2 недели интенсива ты получишь эксклюзивную информацию от лучших экспертов компании и закрепишь новые знания в решении практических кейсов.	https://дом.рф/career/events/tochka-rosta/?utm_source=smm&utm_medium=post&utm_campaign=tr	Развитие личности, Созидательный труд 	https://дом.рф/local/templates/.default/images/career/tochka-rosta-bunner.png
26	Руслан 	Новиком	«Инженеры будущего»	Новикомбанк ежегодно выступает официальным партнером Международного молодежного промышленного форума «Инженеры будущего» .В рамках форума Новикомбанк учредил специальную номинацию «Инженерный авангард».	https://enfuture.ru	Созидательный труд, Патриотизм, Служение Отечеству	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL-GSeHbdtr__nNOYqJBEmeydew8NCxvLBUw&s
27	Ольга 	Банк «Ак Барс»	Благотворительный фонд «Ак Барс Созидание»	Фонд является лауреатом Всероссийской Общественной премии «ГОСГРАНТ» и неоднократным победителем Всероссийского конкурса годовых отчетов донорских и некоммерческих организаций «Точка отчета».	https://akbarssozidanie.ru	Милосердие, Гуманизм, Справедливость	https://www.b-soc.ru/wp-content/uploads/2019/08/Logotip-AK-BARS-SOZIDANIE.jpg
28	Софья 	Юникредит	Корпоративный конкурс «Ты можешь помочь»	 Собственная грантовая программа ЮниКредит Банка. Цель конкурса: выявить и поддержать лучшие идеи проектов, направленных на решение актуальных социально-значимых или экологических проблем в России	https://www.unicreditbank.ru/ru/about/community/charity.html	Милосердие, Гуманизм, Справедливость	https://i.ibb.co/Kj7cVVhb/Chat-GPT-Image-26-2026-17-10-29.png
29	Софья 	Юникредит	Благотворительные ярмарки	Банк проводит праздничные благотворительные ярмарки в своих офисах в Москве. В них участвуют крупные благотворительные фонды, представляющие сувенирную продукцию. Все средства от продажи направляются в помощь больным детям-подопечным фондов.  	-	Милосердие, Взаимопомощь	https://www.unicreditbank.ru/content/dam/cee2020-pws-ru/press/2018/Picture12.jpg
30	Софья 	Юникредит	Программа Арт-терапии	Банк поддерживает программы арт-терапии в лечебных специализированных учреждениях с 2012 года и имеет постоянных партнеров среди крупных благотворительных фондов.  Программа позволяет создать группы общения и творчества для социализации, помощи в адаптации и интеграции в общество детей и подростков с особенностями развития. Для детей, находящихся в стационарах, организуются представления различного жанра, организована работа с психологами. Положительные эмоции, которые получают больные дети на занятиях арт-терапией, помогают им легче преодолевать трудности лечения, отвлечься от больничной обстановки, способствуют скорейшему выздоровлению.	-	Жизнь, Гуманизм, Милосердие, Достоинство	https://i.ibb.co/Hf3x9pxF/Chat-GPT-Image-26-2026-17-14-06.png
31	Владислав 	Почта банк	«Подари лес другу»	«Почта Банк» совместно с онлайн-сервисом Treeography реализовал проект по дистанционному восстановлению деревьев в национальных парках России ё	https://www.pochtabank.ru/news/673661	Ответственность за судьбу Отечества, Гражданственность, Жизнь 	https://postbankhelp.ru/wp-content/uploads/2020/09/podari-les-drugu.jpg
32	Руслан 	МТС Банк	МТС.Тета	бесплатные образовательные курсы для IT-специалистов различного уровня подго- товки.	https://www.teta.mts.ru/analytics-school	Созидательный труд, Развитие личности 	https://static.tildacdn.com/tild3131-3133-4937-b163-376362313131/_.png
33	Руслан 	МТС Банк	«Поколение М»	«Поколение М» − творческий благотворительный проект для детей всей России! Малыши и подростки, школьники и студенты – все могут стать частью всероссийского творческого движения «Поколение М». «Поколение М» — это творчество во имя жизни. Все действия на этом сайте и в сообществе проекта в социальных сетях помогают собрать деньги на помощь тяжелобольным детям. Загружай работы, ставь «лайки», делись в соцсетях и оценивай работы в комментариях — за каждое действие организатор проекта, компания МТС, перечисляет деньги на лечение детей.	https://pokolenie.mts.ru	Жизнь, Милосердие, Гуманизм	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTO_e_2WQmCi_-j5Zo8nHcQww0fhbGiQL-5FA&s
34	Руслан 	МТС Банк	МТС Финтех	МТС Финтех помогает сформировать осознанный и ответственный подход к формированию Социальные инвестиции личного и семейного бюджета	https://rabota.mtsbank.ru/fintechacademy	Созидательный труд, Крепкая семья, Ответственность 	https://static.tildacdn.com/tild3136-6232-4037-a563-626638616462/noroot.jpg
35	Руслан 	МТС Банк	МТС Нас касается	Социальный проект, который помогает. С нами вы можете жертвовать деньги на добрые дела и узнавать больше о том, как устроены социальные проблемы и благотворительность	https://moskva.mts.ru/personal/servisy/mts-nas-kasaetsya	Милосердие, Гуманизм, Взаимопомощь	https://static.mts.ru/dpc_upload/contents/618/naskasaetsa_benefits_ludi.png
36	Ольга 	ПСБ	«ПСБ-Детям»	С 2020 года открыто 26 центров уличного баскетбола, где могут заниматься профессионалы и любители разных возрастов. Они расположены в общественных местах, оборудованы трибунами на 300-900 мест и фанатским сектором.	https://www.psbank.ru/lp/psb-for-children	Жизнь, Коллективизм, Взаимоуважение	https://s0.rbk.ru/v6_top_pics/media/img/0/09/347588879290090.png
37	Ольга 	ПСБ	Проект «СВОй бизнес – дело героев. Платформа СВОего Будущего»	комплексная программа поддержки предпринимательства, запущенная банком ПСБ совместно с фондом «Защитники Отечества» и центрами «Мой бизнес». Обучение и помощь в открытии бизнеса для бывших военнослужащих и членов их семей.  60 регионов, более 1000 участников в 2026,. Уже запущено более 60 предприятий в 2025, гранты на открытие до 500 тысяч.	https://www.psbank.ru/business/platforma_svoi	Служение Отечеству, Патриотизм, Созидательный труд	https://мойбизнес56.рф/svobiznes/img/svo_buisness_logo1.png
38	Ольга 	ПСБ	Все на лёд - студенты на катке	ПСБ к Дню российского студенчества организовал на ГУМ-Катке в Москве карьерно-развлекательный фестиваль для студентов ведущих московских вузов. В мероприятии банка приняли участие более 300 студентов. Сотрудники ПСБ -кураторы программы стажировок «ПСБ Драйв» вместе со студентами провели встречу на льду, рассказывая о возможностях построения карьеры в банке, профессиональные тренеры провели для участников мастер-классы по катанию на льду.	https://www.psbank.ru/bank/press/news/2026/01/27-02	Коллективизм, Взаимоуважение, Развитие личности	https://spbcult.ru/upload/iblock/959/spje3zfnde4ehbq5lnqytwugsmnn2mkx.jpg
39	Ольга 	ПСБ	Гордость нации	Дети участников СВО из Кемеровской области, Донецкой и Луганской Народных Республик отдохнули в августе в летнем военно-историческом лагере "Гордость нации". Совместный проект осуществили ПСБ, фонд "Защитники Отечества" и Российское военно-историческое общество. 	https://vse42.ru/news/33591027	Патриотизм, Историческая память, Единство народов России	https://i.ibb.co/8n1Yjhy4/Chat-GPT-Image-26-2026-17-25-24.png
40	Ольга 	ПСБ	Начинатели	Бесплатная предпринимательская программа для студентов ярославских вузов, где ты получишь практические навыки — от поиска идеи до запуска. Лучшие участники пройдут в акселератор с живыми мастер-классами и погружением в реальные кейсы. Доведи свою идею до финала и получи возможность реализовать проект с грантом от Благотворительного фонда «Подари Себе Будущее».	https://nachinateli-blagopsb.ru/	Созидательный труд, Развитие личности	https://static.tildacdn.com/tild3732-3433-4864-a330-393932396166/Screenshot_2025-09-0.png
41	Софья 	ФОСАГРО	Наши любимые города	Содействия формированию качественной городской среды для устойчивого развития в городах присутствия компании: Кировск (Мурманская область), Череповец (Вологодская область), Балаково (Саратовская область), Волхов (Ленинградская область).  	https://www.phosagro.ru/sustainability/social-response/#accordion-favorite-cities	Гражданственность, Коллективизм, Ответственность за судьбу Отечества	https://smart-lab.ru/uploads/2024/images/23/49/73/2024/11/09/ee5e5e.png